Id,Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization,
66,NIMBPO,155,158,152.3,157.8,69110,10710555.6,155,184.5,150,157.8,10,154.97,28889.3,
67,SADBL,417.1,424,412.1,415,48148,19976761.6,416,526.5,376,415,113,414.9,15496.38,
68,SHINE,403,410,403,405.8,16839,6832838.9,403,499,382,405.8,107,405.77,20379.17,
69,MNBBL,370.9,376,370,371.5,55374,20655005.5,369.1,503,340.1,371.5,407,373,29721.45,
70,SLBBL,834,834,818,823.9,13072,10732661.2,823,1159.4,780,823.9,132,821.04,7379.13,
71,SKBBL,767,774,761.5,761.5,20356,15564337.9,761.1,999,756.6,761.5,177,764.6,37520.4,
72,GBLBS,776,785,765,765.2,10517,8104580.9,776,987,698,765.2,132,770.61,7692.94,
73,KMCDB,922.3,953,922.3,931,3138,2937123.9,935,1270,921.3,931,51,935.98,4175.18,
74,RIDI,268.8,289.9,268.8,289.9,1658725,477492501.2,263.6,302,203.5,289.9,3865,287.86,6735.4,
75,BARUN,380,385,366,367.7,264907,98816485.1,379.5,589,292.1,367.7,867,373.02,4127.55,
76,HLBSL,930,940,906,910,4485,4123165.2,930,1134,837,910,52,919.32,3103.88,
77,JSLBB,1175,1180,1156.1,1165,3177,3695912.9,1178,1860.4,1059,1165,21,1163.33,1981.57,
78,API,305,311,299.6,301.9,585301,179233038.1,303,335,258.8,301.9,1468,306.22,19260.39,
79,NMBMF,677.1,682,668.1,669.3,8331,5602796.7,677,876,596,669.3,58,672.52,4828.66,
80,SWMF,677.1,686,673,673,2968,2015595,676,868.1,641.1,673,48,679.1,7445.31,
81,HIDCL,263.1,268.5,260,260.2,179081,47297772.4,263.7,340,245,260.2,528,264.11,64863.2,
82,NGPL,427.6,434.6,425,427.8,864010,370750700.1,422.5,465,254.8,427.8,1382,429.1,16591.92,
83,RSDC,671,680,662,662,27676,18557605,670.5,880,578.7,662,141,670.53,6845.51,
84,ICFC,665,676,660.2,664.9,26210,17550942.1,661,730.9,555,664.9,160,669.62,7868.9,
85,PROFLP,255.8,255.8,255.8,255.8,4492,1149053.6,261,261,118,255.8,3,255.8,46.04,
86,PCBL,234,238,234,235.4,38599,9102023.8,235.8,290,226,235.4,150,235.8,49327.56,
87,MDB,638.2,640.2,627.2,634,25201,15998866.5,638,764,530.5,634,124,634.85,7716.42,
88,ALICL,486,489,477.3,479.9,49511,23889231.3,480,831,430,479.9,264,482.5,24000.56,
89,HLI,372,374,366,366.2,52247,19250333,369.9,477,354.8,366.2,459,368.44,33482.54,
90,ADBL,301,301,295.5,296,24811,7366885.3,296,344.9,272.3,296,163,296.92,42344.34,
91,MLBL,376,376,369,370,26127,9726774.7,372,488,348.9,370,129,372.28,16691.74,
92,GBBL,404.4,404.4,396.2,397,39941,15967245.2,400.8,498,367.4,397,180,399.77,23904.75,
93,JBBL,342,348,337.5,337.5,46115,15705174.6,338,413,295,337.5,224,340.56,14835.78,
94,CORBL,1890.5,1890.5,1736.1,1769,12585,22155168.1,1929,2800,1431,1769,308,1760.44,9287.25,
95,MPFL,644,669,644,657,69365,45645045.6,657,775,491,657,436,658.04,4009.01,
96,FMDBL,816,816,794,794,25242,20226379.3,800,1038.8,718,794,146,801.29,10678.28,
97,MFIL,794.8,828,794.8,800,211792,171418012.7,811,873,545,800,486,809.36,10812.42,
98,NBL,243,247,243,244.8,51241,12504672.1,243,313,225.4,244.8,205,244.03,35970.97,
99,NLG,720,720,700,706,45113,31912815.4,718,1195,660,706,206,707.39,18834.91,
100,SINDU,838,838,802.6,821,37979,31038949.7,825,1482,608,821,350,817.26,4576.71,
101,RLFL,467,478.3,459.6,464,64074,30143816.9,458,703.8,398,464,361,470.45,5203.54,
102,SHPC,542.3,548,535,535.5,89818,48531344.6,541.6,684.9,443.1,535.5,295,540.32,20016.96,
103,MLBBL,1360,1377,1333,1345,4456,5972453.1,1350,2019,1285,1345,105,1340.31,3441.1,
104,LLBS,990,990,966,988,1974,1928517.4,999,1367.3,865,988,24,976.95,4363.62,
105,RBCLPO,11755,11755,11741.1,11741.1,20,234961,11956,13530,11025,11741.1,2,11748.05,20855.67,
106,VLBS,769,786,769,773,1937,1514075.3,769,1008,737,773,53,781.65,5759.16,
107,MATRI,998,1005,990.1,993,1950,1947551.7,1000,1464.8,930.1,993,42,998.74,6239.59,
108,GILB,1174,1180,1166,1167,726,847949.6,1174,1441.6,1117,1167,17,1167.97,7565.64,
109,MERO,741.4,764.8,738,738,15341,11420985,749.9,1000,668,738,127,744.47,10969.65,
110,GRDBL,1136,1155,1125,1127,15182,17279805.5,1154,1668.4,944,1127,157,1138.17,6936.69,
111,NMFBS,1110.5,1124.9,1110,1111,1375,1531666.6,1106.6,1504,1086,1111,35,1113.93,16902.34,
112,SPDL,402.6,421,402.6,408,90951,37629556.7,410.8,465,308.9,408,333,413.73,5429.86,
113,UMHL,642,644.5,632,636,125517,80134254.4,641,706,373.1,636,329,638.43,7825.98,
114,CHL,297.9,309,292.4,295,137920,41015369.6,298,599.7,223.4,295,508,297.38,2283.17,
115,SMB,1911,1919,1900,1903,1205,2293676,1903,3309.9,1710.1,1903,33,1903.46,2551.46,
116,USLB,1489,1495,1450,1463,6485,9483895.4,1466,2750,1407,1463,114,1462.43,3611.65,
117,RADHI,885,894,877.1,886,497610,439834005.3,875,905.6,373,886,1230,883.89,16293.36,
118,WNLB,1500,1550,1500,1526,1069,1638695,1525,4271,1242.1,1526,53,1532.92,1287.04,
119,NADEP,815,815,790.3,795,2933,2351478.1,805,1046,696,795,51,801.73,3861.79,
120,KPCL,553.9,554.3,539,544.9,26796,14649731.6,543.5,711,491,544.9,174,546.71,5445.33,
121,AKJCL,357,376,351,363,1426865,514957432,352.8,376,172.9,363,2580,360.9,7260,
122,JOSHI,310,326,308.4,319,369035,117275486.2,305.3,487,254,319,1426,317.78,1954.86,
123,ACLBSL,979.2,998,965,987,8893,8702463.5,960,1284.9,900,987,114,978.57,3623.71,
124,UPPER,190,191.6,186.1,186.3,185555,35073895.7,188.1,228,166,186.3,780,189.02,39458.34,
125,SLBSL,1349,1349,1309,1324,1906,2517332.5,1328.9,2824.6,1234.5,1324,40,1320.74,2261.46,
126,GHL,258.5,266.9,253,254.5,589736,153545588.1,253.5,318,197.1,254.5,1682,260.36,4199.25,
127,ALBSL,1154.5,1201,1125,1158,20147,23365824.5,1178,1250,771,1158,254,1159.76,9295.1,
128,UPCL,385,391,376,377,161447,61813294.7,385,489,277.5,377,527,382.87,9368.92,
129,MHNL,279.8,285,274.4,277,27315,7586530.4,277,316,226,277,143,277.74,3462.5,
130,GMFBS,1499,1499,1452,1470,1865,2725737.1,1478,1980,1395,1470,45,1461.52,2227.85,
131,HURJA,259,266.9,258,259.6,571043,150160574.4,255.1,283.4,204.6,259.6,1323,262.95,5140.08,
132,RHPL,285,295,280.4,281,43262,12388603.7,285,487.3,252.3,281,261,286.36,19226.3,
133,SJCL,297.1,307,293,296.5,27726,8306332.8,300,378.7,267,296.5,180,299.58,10822.25,
134,SAPDBL,861.1,887,855,864,71754,61944609.3,870,1437.2,686,864,304,863.29,7208.68,
135,NICBF,9.33,9.51,9.33,9.5,15700,149084,9.5,10.93,8.48,9.5,5,9.49,717.25,
136,NRIC,1310,1341,1291,1319.9,196139,259333698.1,1285,1842,960.4,1319.9,1314,1322.19,177159.45,
137,KBLD86,1280.9,1280.9,1280.9,1280.9,49,62764.1,1307,1307,1080.3,1280.9,3,1280.9,3842.7,
138,NICLBSL,590,595,570,578,22267,12864773.3,583,764,535,578,215,577.75,10053.96,
139,CIZBD86,1160.1,1160.1,1160.1,1160.1,15,17401.5,1160,1320.9,1096.4,1160.1,1,1160.1,2900.25,
140,KKHC,256.7,276.8,256.7,276.8,809051,220797065,251.7,475.9,208,276.8,3157,272.9,2578.19,
